county,rain19_mean,rain20_mean,rain21_mean,rain22_mean,rain23_mean,rain24_mean,elev_mean,abs_change_19_24,pct_change_19_24,pct_change_peryr,avg_19_24
Levy,1646.89,1427.66,1609.26,1434.77,1481.84,1514.89,20.03,-132.00,-8.00,-2,1519.22
Liberty,1471.08,1794.00,1946.36,1712.00,1718.23,1802.26,31.23,331.18,23.00,5,1740.66
Madison,1234.69,1498.09,1703.59,1330.02,1861.81,1605.21,37.07,370.52,30.00,6,1538.90
Manatee,1537.17,1584.00,1307.02,1592.78,1082.87,1778.52,19.95,241.35,16.00,3,1480.39
Marion,1545.28,1402.14,1507.82,1447.93,1384.96,1515.57,30.66,-29.71,-2.00,0,1467.28
Martin,1594.11,1983.67,1373.80,1366.37,1596.94,1534.65,9.41,-59.46,-4.00,-1,1574.92
Miami-Dade,1501.22,1963.65,1323.53,1478.45,1737.28,1628.36,5.96,127.15,8.00,2,1605.42
Monroe,1369.88,1736.78,1258.09,1339.85,1336.43,1610.19,4.76,240.31,18.00,4,1441.87
Nassau,1300.96,1494.44,1496.88,1227.30,1401.54,1670.38,15.59,369.42,28.00,6,1431.92
Okaloosa,1469.78,1777.60,1973.65,1526.67,1441.25,1652.88,48.68,183.10,12.00,2,1640.30
Okeechobee,1363.11,1705.06,1299.46,1329.04,1368.40,1395.14,16.36,32.03,2.00,0,1410.04
Orange,1581.43,1510.63,1382.38,1615.28,1369.28,1442.91,27.46,-138.52,-9.00,-2,1483.65
Osceola,1542.99,1526.91,1248.67,1526.51,1410.02,1323.99,22.09,-219.00,-14.00,-3,1429.85
Palm Beach,1597.11,1959.42,1406.83,1494.25,1628.87,1618.38,7.51,21.27,1.00,0,1617.47
Pasco,1728.15,1512.18,1460.43,1543.16,1190.74,1757.02,28.12,28.88,2.00,0,1531.95
Pinellas,1671.47,1416.71,1245.23,1382.44,886.97,1615.13,11.14,-56.34,-3.00,-1,1369.66
Polk,1520.99,1479.81,1209.29,1519.94,1208.21,1455.97,39.60,-65.03,-4.00,-1,1399.04
Putnam,1411.39,1443.66,1576.67,1516.93,1529.23,1529.42,23.12,118.03,8.00,2,1501.22
Saint Johns,1401.53,1455.38,1535.63,1455.74,1548.49,1514.33,12.09,112.80,8.00,2,1485.18
Saint Lucie,1494.86,1846.09,1340.68,1352.13,1479.94,1578.03,11.22,83.17,6.00,1,1515.29
Santa Rosa,1404.57,1760.97,2012.22,1587.76,1420.98,1718.86,45.18,314.29,22.00,4,1650.89
Sarasota,1412.80,1626.13,1263.80,1520.23,1080.72,1796.19,10.40,383.39,27.00,5,1449.98
Seminole,1526.62,1508.61,1437.42,1719.27,1339.66,1428.93,15.97,-97.69,-6.00,-1,1493.42
Sumter,1504.81,1333.19,1395.86,1477.05,1147.25,1590.74,28.66,85.93,6.00,1,1408.15
Suwannee,1286.36,1503.01,1620.18,1306.98,1592.17,1566.36,30.52,280.00,22.00,4,1479.18
Taylor,1345.98,1465.00,1789.36,1367.47,1706.99,1515.50,20.51,169.52,13.00,3,1531.72
Union,1403.75,1478.49,1785.72,1343.70,1507.82,1502.03,42.54,98.28,7.00,1,1503.59
Volusia,1580.67,1644.40,1448.68,1651.48,1453.86,1481.06,13.71,-99.62,-6.00,-1,1543.36
Wakulla,1397.84,1656.44,1670.57,1550.99,1814.78,1771.76,18.45,373.92,27.00,5,1643.73
Walton,1495.73,1945.29,2064.67,1552.01,1575.73,1744.81,47.94,249.08,17.00,3,1729.71
Washington,1346.97,1857.41,2014.75,1574.52,1581.80,1722.50,37.19,375.53,28.00,6,1682.99
